,0
0,LU0569974404
1,LU1598757687
2,LU1068091351
3,FR0010208488
4,FR0000061418
5,FR0000060535
6,HU0000096409
7,LU0974299876
8,DE000A13SX22
9,LU0092846210
10,LU0502900771
11,DE000BFB0019
12,DE000BFB0027
13,US6084642023
14,GRS003013000
15,LU0122624777
16,DE000PSM7770
17,LU0383812293
18,NL0000289783
19,DE000A12UKK6
20,NL0000289817
21,LU0061462528
22,LU0720694636
23,DE000SHA0159
24,LU0088087324
25,LU0056569402
26,LU0092047413
27,LU0011858965
28,LU0011858700
29,LU0027967834
30,GB0057139940
31,GB0049659120
32,DE000A1PG7W8
33,LU0982016452
34,DE0007664005
35,DE0007664039
36,DE000A1ML7J1
37,LU0376142542
38,KYG5736G1073
39,LU1650052365
40,JE00B5ZT8572
41,LU0080035727
42,LU0011857645
43,LU0033983072
44,NL0011983374
45,LU1129894801
46,LU0386500333
47,BMG4035L1155
48,VGG5884M1041
49,LU0011859856
50,LU0976591924
51,LU1150706494
52,GB00B29LH959
53,BMG968101094
